Xmeasurement,devXeui,host,name,topic,decodedXpayload_humidity,decodedXpayload_temperature,time
mqtt_consumer,CCC450FEFF6E959E,grafana,cae273a0a089,helium/cae273a0a089/rx,48.92675669489586,20.711451895933465,2023-05-21T17:41:10.000000Z
mqtt_consumer,CCC450FEFF6E959E,grafana,cae273a0a089,helium/cae273a0a089/rx,50.52704661631189,20.997177080949115,2023-05-21T17:51:10.000000Z
mqtt_consumer,CCC450FEFF6E959E,grafana,cae273a0a089,helium/cae273a0a089/rx,50.58045319295033,21.35500114442664,2023-05-21T18:01:10.000000Z
mqtt_consumer,CCC450FEFF6E959E,grafana,cae273a0a089,helium/cae273a0a089/rx,51.43495841916533,21.59533073929961,2023-05-21T18:11:10.000000Z
mqtt_consumer,CCC450FEFF6E959E,grafana,cae273a0a089,helium/cae273a0a089/rx,50.29816128786145,21.67544060425726,2023-05-21T18:21:10.000000Z
mqtt_consumer,CCC450FEFF6E959E,grafana,cae273a0a089,helium/cae273a0a089/rx,49.47798886091402,21.79560540169375,2023-05-21T18:31:10.000000Z
mqtt_consumer,CCC450FEFF6E959E,grafana,cae273a0a089,helium/cae273a0a089/rx,49.50087739375906,21.891737239642936,2023-05-21T18:41:10.000000Z
mqtt_consumer,CCC450FEFF6E959E,grafana,cae273a0a089,helium/cae273a0a089/rx,49.420767528801406,21.987869077592123,2023-05-21T18:51:10.000000Z
mqtt_consumer,CCC450FEFF6E959E,grafana,cae273a0a089,helium/cae273a0a089/rx,48.8905165178912,22.00389105058366,2023-05-21T19:01:10.000000Z
mqtt_consumer,CCC450FEFF6E959E,grafana,cae273a0a089,helium/cae273a0a089/rx,49.212863355458914,22.019913023575185,2023-05-21T19:11:10.000000Z
mqtt_consumer,CCC450FEFF6E959E,grafana,cae273a0a089,helium/cae273a0a089/rx,48.99542229343099,22.06530861371786,2023-05-21T19:21:10.000000Z
mqtt_consumer,CCC450FEFF6E959E,grafana,cae273a0a089,helium/cae273a0a089/rx,49.26817730983444,22.118715190356298,2023-05-21T19:31:10.000000Z
mqtt_consumer,CCC450FEFF6E959E,grafana,cae273a0a089,helium/cae273a0a089/rx,50.1436636911574,22.145418478675523,2023-05-21T19:41:10.000000Z
