time,temp_ref,temp_old_logger,temp_new_logger,Row,Anomaly_new_log_ref,Anomaly_old_log_ref,Anomaly_new_log_old_log
2023-05-15T00:10:00Z,10.3,10.063,9.92065308613718,1,-0.37934691386282005,-0.2370000000000001,-0.14234691386281995
2023-05-15T00:20:00Z,10.2,9.965,9.82719157701991,2,-0.3728084229800892,-0.23499999999999943,-0.13780842298008977
2023-05-15T00:30:00Z,10.1,9.965,9.763103685053784,3,-0.3368963149462161,-0.1349999999999998,-0.2018963149462163
2023-05-15T00:40:00Z,10.1,9.866,9.72571908140688,4,-0.3742809185931204,-0.23399999999999999,-0.14028091859312042
2023-05-15T00:50:00Z,10.1,9.768,9.565499351491567,5,-0.5345006485084323,-0.33199999999999896,-0.2025006485084333
2023-05-15T01:00:00Z,10,9.669,9.51209277485313,6,-0.4879072251468699,-0.3309999999999995,-0.1569072251468704
2023-05-15T01:10:00Z,9.9,9.669,9.439993896391243,7,-0.46000610360875704,-0.23099999999999987,-0.22900610360875717
2023-05-15T01:20:00Z,9.9,9.669,9.49340047302968,8,-0.40659952697031976,-0.23099999999999987,-0.17559952697031989
2023-05-15T01:30:00Z,9.9,9.571,9.423971923399712,9,-0.47602807660028823,-0.3290000000000006,-0.1470280766002876
2023-05-15T01:40:00Z,9.9,9.571,9.39192797741665,10,-0.5080720225833506,-0.3290000000000006,-0.17907202258334998
2023-05-15T01:50:00Z,9.8,9.571,9.397268635080492,11,-0.402731364919509,-0.22900000000000098,-0.17373136491950802
2023-05-15T02:00:00Z,9.7,9.571,9.36789501792935,12,-0.33210498207064987,-0.12899999999999956,-0.2031049820706503
2023-05-15T02:10:00Z,9.7,9.472,9.36789501792935,13,-0.33210498207064987,-0.22799999999999976,-0.10410498207065011
2023-05-15T02:20:00Z,9.7,9.472,9.29846646829938,14,-0.4015335317006201,-0.22799999999999976,-0.17353353170062036
2023-05-15T02:30:00Z,9.5,9.373,9.175631342030975,15,-0.3243686579690248,-0.12700000000000067,-0.19736865796902414
2023-05-15T02:40:00Z,9.5,9.275,9.106202792401008,16,-0.3937972075989915,-0.22499999999999964,-0.16879720759899186
2023-05-15T02:50:00Z,9.6,9.373,9.172961013199057,17,-0.42703898680094277,-0.2270000000000003,-0.20003898680094245
2023-05-15T03:00:00Z,9.4,9.275,9.087510490577555,18,-0.3124895094224449,-0.125,-0.1874895094224449
2023-05-15T03:10:00Z,9.3,9.275,9.071488517586026,19,-0.22851148241397468,-0.025000000000000355,-0.20351148241397432
2023-05-15T03:20:00Z,9.4,9.176,8.98603799496452,20,-0.4139620050354811,-0.2240000000000002,-0.18996200503548089
2023-05-15T03:30:00Z,9.3,9.176,8.970016021972988,21,-0.3299839780270126,-0.12400000000000055,-0.20598397802701207
2023-05-15T03:40:00Z,9.4,9.176,9.01007095445182,22,-0.38992904554818075,-0.2240000000000002,-0.16592904554818055
2023-05-15T03:50:00Z,9.4,9.176,9.031433585107196,23,-0.36856641489280406,-0.2240000000000002,-0.14456641489280386
2023-05-15T04:00:00Z,9.4,9.275,9.0688181887541,24,-0.33118181124589974,-0.125,-0.20618181124589974
2023-05-15T04:10:00Z,9.4,9.275,9.058136873426411,25,-0.34186312657358897,-0.125,-0.21686312657358897
2023-05-15T04:20:00Z,9.4,9.275,9.074158846417944,26,-0.325841153582056,-0.125,-0.200841153582056
2023-05-15T04:30:00Z,9.4,9.373,9.167620355535211,27,-0.23237964446478898,-0.027000000000001023,-0.20537964446478796
2023-05-15T04:40:00Z,9.5,9.472,9.311818112458994,28,-0.18818188754100618,-0.02800000000000047,-0.1601818875410057
2023-05-15T04:50:00Z,9.6,9.571,9.418631265735868,29,-0.18136873426413125,-0.028999999999999915,-0.15236873426413133
2023-05-15T05:00:00Z,9.6,9.768,9.525444419012745,30,-0.0745555809872549,0.16800000000000104,-0.24255558098725594
2023-05-15T05:10:00Z,9.7,9.866,9.557488364995804,31,-0.14251163500419572,0.16600000000000037,-0.3085116350041961
2023-05-15T05:20:00Z,9.7,9.866,9.560158693827724,32,-0.13984130617227564,0.16600000000000037,-0.305841306172276
2023-05-15T05:30:00Z,9.8,9.965,9.709697108415348,33,-0.09030289158465266,0.16499999999999915,-0.2553028915846518
2023-05-15T05:40:00Z,10.1,9.965,9.821850919356066,34,-0.2781490806439333,-0.1349999999999998,-0.1431490806439335
2023-05-15T05:50:00Z,9.8,10.161,9.907301441977566,35,0.1073014419775653,0.3609999999999989,-0.2536985580224336
2023-05-15T06:00:00Z,10.1,10.161,9.95536736095216,36,-0.14463263904784007,0.06099999999999994,-0.20563263904784002
2023-05-15T08:40:00Z,12.8,13.558,13.34668497749294,37,0.546684977492939,0.7579999999999991,-0.21131502250706014
2023-05-15T08:50:00Z,13.1,15.187,14.884794384679942,38,1.7847943846799428,2.0869999999999997,-0.30220561532005696
2023-05-15T09:00:00Z,14.2,15.282,15.002288853284504,39,0.8022888532845052,1.0820000000000007,-0.2797111467154956
2023-05-15T09:10:00Z,13.6,14.517,14.473563744563975,40,0.8735637445639757,0.9169999999999998,-0.04343625543602414
2023-05-15T09:20:00Z,13.2,13.942,13.854047455558096,41,0.6540474555580964,0.7420000000000009,-0.08795254444190448
2023-05-15T09:30:00Z,13.2,14.134,14.289311055161363,42,1.0893110551613638,0.934000000000001,0.1553110551613628
